ttrip_id,expan_fac,expan_fac/10,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime,expan_fac,avdis,avtime,avptdis,avpttime,avptwalkdis,avptWalkTime,avptInVehDis,avptInVehTime,avptNumSteps,avptTransitLineNames
50420310101,404.29,40.429,1,22704,2804,1,3.34,1,1,1,14180,18914,1,4041,19708,0,0,0,0,0,0,1,2946,1029,1920,0,4.15,1,2946,4.15,0,1029,404.29,9871,1198,20691,1894,194,167,20497,1440,2,southeastern/141/
50662510301,770.44,77.044,1,29875,4288,2,3.04,1,1,1,20775,28293,1,6171,31725,0,0,0,0,0,0,1,3727,422,2940,1,4.85,1,3727,4.85,1,422,770.44,11449,1074,22499,1972,227,172,22272,1800,1,southeastern/
50690310201,191.12,19.112,1,27514,4148,2,3.04,1,1,1,16394,21854,1,4737,24038,0,0,0,0,0,0,1,3462,1303,2160,0,4.15,1,3462,4.15,0,1303,191.12,4000,546,23970,2609,339,350,23631,1980,2,southeastern/District/
50693510201,501.14,50.114,1,23037,3223,2,3.04,1,1,1,14559,19504,1,4156,21475,0,0,0,0,0,0,1,3571,1191,1945,1,4.15,1,3571,4.15,1,1191,501.14,7343,881,22687,2104,415,304,22272,1800,1,southeastern/
50693910401,742.06,74.206,1,34249,4073,3,3.04,0,1,1,20182,26729,1,5808,28614,0,0,0,0,0,0,1,4270,789,2987,1,2.7,1,4270,2.7,1,789,742.06,5412,670,27616,3359,381,304,27235,2300,3,southeastern/Jubilee/98/
50711110201,393.2,39.32,1,28834,3911,1,1.15,0,1,1,19486,26186,1,5660,28556,0,0,0,0,0,0,1,3580,1077,2100,1,4.85,1,3580,4.85,1,1077,393.2,869,229,27656,3350,888,676,26768,2400,2,southeastern/District/
50711710103,679.34,67.934,1,25150,3585,1,1.52,1,1,1,16829,22556,1,4931,25599,0,0,0,0,0,0,1,2023,778,1260,0,4.85,1,2023,4.85,0,778,679.34,343,111,21714,1918,663,537,21051,1380,1,southeastern/
50713210101,349.82,34.982,1,33173,4173,1,2.46,1,1,1,19416,25967,1,5804,29000,0,0,0,0,0,0,1,3523,1473,1800,1,4.85,1,3523,4.85,1,1473,349.82,1124,257,24542,2808,738,567,23804,1980,2,southeastern/Northern/
50730910201,654.24,65.424,1,19711,3016,2,1.71,1,1,1,13684,18548,1,3855,19916,0,0,0,0,0,0,1,2945,1075,1860,0,4.15,1,2945,4.15,0,1075,654.24,6004,750,20070,1528,661,508,19409,1020,1,southeastern/
50780910101,674.52,67.452,1,27654,3232,2,3.04,1,1,1,16456,21960,1,4761,24617,0,0,0,0,0,0,1,3218,1293,1920,0,4.15,1,3218,4.15,0,1293,674.52,3939,552,22678,2116,406,316,22272,1800,1,southeastern/
