""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
AVPT-3.8,0,ins,no,orp,3600,150,4,494.854457681,98.59154929577464,490,497,98.52320675105486,467,474,100.0,23,23,341.635121105,231.61917076,530.7925193,1.12464658772,16866.2118866,1761.31866667,48.9255185185,25.210540993417112,2.4519999999999995,0.0681111111111111,0.544315088324,0.493134693439,
AVPT-3.8,0,ins,no,orp,3600,160,4,494.854457681,98.88641425389756,444,449,98.82903981264637,422,427,100.0,22,22,342.605878617,184.415004776,530.898463249,1.12308541136,14393.6737476,1514.81,42.0780555556,34.93044601111578,3.3606249999999998,0.09335069444444444,0.448056338773,0.407531280699,
AVPT-3.8,0,ins,no,orp,3600,170,4,494.854457681,98.09885931558935,516,526,98.03921568627452,500,510,100.0,16,16,346.688817076,263.443762942,523.389967034,1.12199137922,14777.0277643,1566.30117647,43.5083660131,32.64186503326645,3.1788235294117646,0.08830065359477124,0.465731798331,0.435289140366,
AVPT-3.8,0,ins,no,orp,3600,180,4,494.854457681,98.56115107913669,548,556,98.48771266540643,521,529,100.0,27,27,370.91342829,268.443952483,543.70112086,1.12455604172,14078.9981502,1481.28555556,41.1468209877,61.47008227120126,5.9894444444444455,0.1663734567901235,0.456283504764,0.427008509616,
AVPT-3.8,0,ins,no,orp,3600,190,4,494.854457681,99.1304347826087,456,460,99.31972789115646,438,441,94.73684210526316,18,19,341.080566772,205.179658819,539.344110832,1.11834338299,12108.3093595,1274.55473684,35.4042982456,0.0,0.0,0.0,0.351268090503,0.334456336377,
AVPT-3.8,0,ins,no,orp,3600,200,4,494.854457681,98.73684210526316,469,475,98.67549668874172,447,453,100.0,22,22,354.019785198,159.327814444,508.797776897,1.11421308041,11441.5324239,1207.115,33.5309722222,5.869,0.563,0.01563888888888889,0.358189248116,0.325728135229,
""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
AVPT-3.8,0,ins,no,orp,3600,200,4,494.854457681,98.45857418111753,511,519,98.38709677419355,488,496,100.0,23,23,353.033762851,337.979746542,520.675233673,1.12835483577,12144.2428368,1264.044,35.1123333333,24.776905745062837,2.4019999999999997,0.06672222222222221,0.390704844383,0.353542839454,
AVPT-3.8,1,ins,no,orp,3600,200,4,452.363181317,98.47161572052401,451,458,98.38337182448036,426,433,100.0,25,25,344.853019616,175.38410999,513.395593014,1.12360919416,11572.3970341,1207.869,33.5519166667,30.911370800475723,2.9779999999999998,0.08272222222222221,0.341185363101,0.319212517291,
